ticker,name,avg_price,qty,currency,market,memo
SOXL,SOXL,32.24,86,USD,US,
TQQQ,TQQQ,49.86,65,USD,US,
GOOGL,알파벳A,138.54,45,USD,US,
INTC,인텔,43.57,20,USD,US,
MSFT,마이크로소프트,383.6,2,USD,US,
SCHD,SCHD,30.61,1,USD,US,
462870.KS,시프트업,30236.0,26,KRW,KOSPI,
086790.KS,하나금융지주,100620.0,15,KRW,KOSPI,
010120.KS,LS ELECTRIC,639000.0,1,KRW,KOSPI,
105560.KS,KB금융,143013.0,18,KRW,KOSPI,
000815.KS,삼성화재우,370285.0,7,KRW,KOSPI,
000810.KS,삼성화재,477625.0,4,KRW,KOSPI,
004800.KS,효성,69450.0,8,KRW,KOSPI,
005387.KS,현대차2우B,247937.0,8,KRW,KOSPI,
005385.KS,현대차우,278916.0,6,KRW,KOSPI,
035420.KS,NAVER,220499.0,16,KRW,KOSPI,
005930.KS,삼성전자,59635.0,20,KRW,KOSPI,
207940.KS,삼성바이로로직스,1591000.0,1,KRW,KOSPI,
028260.KS,삼성물산,274000.0,2,KRW,KOSPI,
009540.KS,HD한국조선해양,397500.0,4,KRW,KOSPI,
030200.KS,KT,58350.0,10,KRW,KOSPI,
